id,title,text,url,rse,source_lang,created_at,published_at,rssfeed_id,source,reference_id,publication_date,lang
Y5ZMVNR2SD,Lyme disease-carrying ticks may invade new territory in the Midwest,"Black-legged ticks may soon expand their territory across the midwestern U.S., carrying Lyme disease with them, a new study finds. The study researchers created a timeline of when and where the black-legged tick (Ixodes scapularis) has spread since the 1960s, when the parasitic arachnid was first detected in Wisconsin and Minnesota. The team pinpointed several environmental factors that help the ticks migrate from place to place, and using this data, they predicted where ticks would go next.By the end of 2021, the black-legged tick will likely be detected in 42 additional counties in the Midwest, the model predicted. And with them, they'll bring the bacterium Borrelia burgdorferi, the microbe that causes Lyme disease. Related: 8 awful parasite infections that will make your skin crawlThe bacteria causes a rash that can linger in the skin for about a month. The infection can then spread to the rest of the body, causing aches, fatigue and fever. Without treatment, Lyme disease can cause tingling in the limbs, arthritis and neurological changes, such as memory loss and paralysis.  ""Ticks are thought to be the sole vector of Lyme disease to humans,"" with I. scapularis being the most significant, study author Allison Gardner, a professor of biology and ecology at the University of Maine, told Live Science. Because some symptoms of Lyme disease overlap with those of other diseases, such as shingles, it's important for doctors to be aware of tick populations nearby to suspect Lyme disease, Gardner said. If identified quickly, most cases of Lyme disease can be treated with a few weeks of antibiotics, according to the Centers of Disease Control and Prevention (CDC).The team's model used county-level data on reports of ticks and environmental data from the region, such as the number of rivers and amount of forest cover in different counties; they also tracked Lyme disease incidence using CDC databases, journal articles and county-level data.It turned out that ticks spread in a wave-like pattern. Unsurprisingly, the strongest predictor of spread was whether a tick-free county sat next to one where ticks had been detected within the previous 10 years. Greater forest cover proved to be another key factor, likely because forest animals, such as white-tailed deer and white-footed mice, are hosts for the tick, Gardner said.Rivers also raised the risk that ticks would spread to a region. ""In Illinois, for example, the ticks first arrived along the Illinois River and then spread up and down the river quite quickly,"" study author Brian Allan, an entomology professor at the University of Illinois Urbana-Champaign, said in a statement. Rivers often act as ""wildlife corridors,"" meaning animals like deer and migratory songbirds, which also carry ticks, frequently travel along their lengths, Gardner said.For the years 2012 to 2016, the model predicted the appearance of ticks in new counties with greater than 90% accuracy, so the team then used the model to make predictions about 2021. As would be expected, once black-legged ticks were found in a county, a huge spike in Lyme disease in that county followed. But the authors also identified 31 counties where Lyme disease cases have spiked, even though the parasite ostensibly doesn't live there. That suggests the black-legged ticks may have already invaded those counties, though they haven't yet been detected. Surveying for ticks is laborious and expensive, Gardner noted; it involves trapping and inspecting local wildlife for ticks, as well as inspecting game that people bring to hunting posts. Surveyors may also drag large pieces of cloth through the woods and count all the ticks that stick, she said. Flagging regions as high-risk for invasion could help counties get funding for such efforts.The findings were published Dec. 22 in the journal Proceedings of the Royal Society B. Originally published on Live Science.",https://www.livescience.com/tick-spread-lyme-disease.html,#,,24/12/2020 12:09,2020-12-24 11:00:00+00:00,5c98a4799fcf,www.livescience.com,,1608811200,EN
LAW54TLNLA,Lyme Disease: Overview and More,"Lyme disease is an infection caused by a bacterium called Borrelia burgdorferi, which is spread to humans via the bite of infected black-legged ticks, commonly known as deer ticks. 

More than 95% of Lyme disease cases come from the Northeastern quarter of the United States, from Maine down to Virginia, and between the east coast and the western border of Minnesota.

Symptoms usually begin 3 to 30 days after you're bitten and often resemble the flu. It’s sometimes diagnosed with antibody tests, but if you have a confirmed tick bite, your doctor may diagnose it based on symptoms alone. If left untreated, Lyme disease can lead to other symptoms weeks later, including severe fatigue and multiple rashes. However, this is less common and unlikely without the presence of other Lyme disease symptoms.

Treatment is generally antibiotics, but some people need more intensive treatment. Avoiding tick bites is the best way to prevent Lyme disease.",https://www.verywellhealth.com/lyme-disease-5092808,#,,19/12/2020 18:58,2020-12-18 18:34:57+00:00,5c98a4799fcf,www.verywellhealth.com,,1608320097,EN
TD0OH7V5FP,Valneva accelerates Lyme disease vaccine R&D project with Pfizer,"Valneva has said it plans to accelerate research into its Lyme disease vaccine candidate VLA15, bringing forward a trial including children into the first quarter of 2021.Subject to approval from regulators the vaccine specialist said it plans the trial known as VLA15-221 as a randomised, observer-blind phase 2 study including around 600 healthy people aged 5-65 years of age.They will receive VLA15 at the dose of 180 micrograms, which was selected based on data from two ongoing phase 2 studies.First data from the study is expected by the second quarter of 2022 and all three studies will support a phase 3 pivotal efficacy trial including all main target populations for the Lyme vaccine, starting in 2022.Starting the next phase 2 study will trigger a milestone payment from Pfizer to Valneva of $10 million under a collaboration announced in April this year.Under the agreement Valneva could receive up to $308 million in cash payments, after Pfizer paid $130 million up front for marketing rights to the vaccine if it succeeds in the clinic.Pfizer will pay up to $45 million in development related milestone payments and up to $143 million if the vaccine hits early sales targets.Valneva is paying 30% of development costs and in return Pfizer will pay tiered royalties starting at 19% and will lead late-stage development.VLA15 is the only active Lyme disease vaccine in clinical development today, and covers six strains that are prevalent in North America and Europe.This investigational multivalent protein subunit vaccine targets the outer surface protein A (OspA) of the bacterium Borrelia that causes the disease, an established mechanism of action for a Lyme disease vaccine.OspA is one of the most dominant surface proteins expressed by the bacteria when present in the ticks that spread the disease.VLA15 has demonstrated a promising immune response and safety data in pre-clinical and clinical studies so far.",https://pharmaphorum.com/news/valneva-accelerates-lyme-disease-vaccine-rd-project-with-pfizer/,North America,,10/12/2020 08:39,2020-12-04 10:30:24+00:00,5c98a4799fcf,pharmaphorum.com,,1607081424,EN
QPI1LRGM4Q,U.S. Department of Defense Funds New Lyme Disease Vaccine Development,"Researchers at Baylor College along with Texas Children’s Hospital’s Center for Vaccine Development have received an $860,000 grant from the Department of Defense to develop a recombinant protein vaccine for Lyme disease—the most common vector-borne disease in the U.S. military and in the general U.S. population.
“We have partnered with the experts that have identified a novel vaccine antigen and plan to accelerate its development as a new prototype vaccine from the bench into the clinic,” said Dr. Maria Elena Bottazzi, associate dean of Baylor’s National School of Tropical Medicine at Baylor College of Medicine and co-director of Texas Children’s Center for Vaccine Development.
No human Lyme disease vaccine is currently available, she added. And, those candidates that have advanced into clinical trials have not developed a safe and effective or efficient response
Lyme disease, transmitted by the bacteria Borrelia burgdorferi, can infect at the site of the tick bite and then survive in the bloodstream and spread to the heart, joints or brain, resulting in arthritis, neurological abnormalities, and carditis.
CHECK OUT: Scientists Develop New Test That Can Diagnose Lyme Disease in Just 15 Minutes
According to the Centers for Disease Control and Prevention, approximately 300,000 Americans are infected annually, especially in the Midwest and Northeast, including New York state—and with warmer temperatures becoming the norm, the disease cases have been geographically expanding in the past 20 years.
Researchers from Baylor will partner on this work with Lyme disease experts from the Wadsworth Center, New York State Department of Health.
A Baylor College news release reports the team will develop a process to manufacture the vaccine prototype and define host immune responses triggered by the prototypic vaccine under different regimens, including different doses, number of immunizations and type of immune-stimulants, to identify the most efficient way to prevent bacterial colonization and Lyme disease manifestation.
“Contributing to this work and applying our strict quality system practices will be crucial to realize our long-term goal to develop a Lyme disease vaccine, and our vaccine center is well poised to achieve the goals of the project,” said Dr. Wen-Hsiang Chen, assistant professor of tropical medicine at Baylor and director of vaccine quality control and analytical development at Texas Children’s.
RELATED: Potential Treatment for Lyme Disease Kills Bacteria That May Cause Lingering Symptoms, Study Finds
“This program builds nicely on our strengths in identifying Lyme disease bacterial proteins as vaccine candidates and investigating how injecting these vaccine candidates blocks tick-to-human transmission of bacteria and/or prevents the disease manifestations,” said Dr. Yi-Pin Lin at Wadsworth Center, New York State Department of Health.
“This study will significantly benefit the quality of life for U.S. Service members, their families and the general public around the globe.”
Spread The Good News to Your Friends on Social Media…",https://www.goodnewsnetwork.org/dept-of-defense-funds-new-lyme-disease-vaccine-development/,#,,01/12/2020 16:59,2020-11-28 19:04:00+00:00,5c98a4799fcf,www.goodnewsnetwork.org,,1606593840,EN
BZ3CWX3NJQ,Protein may protect against Lyme disease bacteria,"Protein may protect against Lyme disease bacteria 
Share this Article 

You are free to share this article under the Attribution 4.0 International license. 

Researchers have discovered a protein that helps protect hosts from infection with the tick-borne spirochete that causes Lyme disease. 
The finding may help diagnose and treat this infection. 
Lyme disease is the most common vector-borne disease in North America and is transmitted by ticks infected with the spirochete Borrelia burgdorferi. 
The course of the disease varies among individuals, with the majority experiencing mild symptoms easily treated by antibiotics. However, in some cases of untreated Lyme, the infection can spread to the heart, joints, nervous system, and other organs. 
For the study, the researchers expressed more than 1,000 human genes in yeast and analyzed their interactions with 36 samples of B. burgdorferi. They found that one protein, Peptidoglycan Recognition Protein 1 ( PGLYRP1 ), acts like an early warning signal to the immune system when exposed to the bacteria. 
When exposed to the Lyme spirochete, mice lacking PGLYRP1 had much higher levels of B. burgdorferi than mice with the protein and showed signs of immune system dysfunction, the researchers report. 
`` Stimulating the ability of people to make more of this protein could help fight infection, '' says Erol Fikrig, professor of medicine ( infectious diseases ) at Yale University, professor of epidemiology ( microbial diseases ) and of microbial pathogenesis, and co-corresponding author of the study. 
Fikrig and his colleagues are also investigating whether people with higher levels of PGLYRP1 may be less susceptible to infection by B. burgdorferi, which would help explain why some infected individuals have better outcomes. 
The research appears in PLOS Pathogens. 
The National Institutes of Health and the Steven & Alexandra Cohen Foundation, a nonprofit that supports Lyme and tick-borne disease research, funded the work. 
Source: Yale University",https://www.futurity.org/lyme-disease-borrelia-burgdorferi-pglyrp1-2472692-2/,North America,,18/11/2020 06:40,2020-11-16 16:58:30+00:00,5c98a4799fcf,www.futurity.org,,1605549510,EN
IPJNI1J2DS,Scientists discover protein that defends against tick-borne Lyme disease,"NEW HAVEN, Conn. — In a normal summer, ticks are a major concern for anyone hiking, camping, or just out for a walk in grassy areas. These disease-carrying pests spread the most common vector-borne illness in North America — Lyme disease. While this tick-borne disease can cause devastating side-effects if it goes untreated, researchers at Yale University have discovered a warning sign for Lyme inside the human body. Their study finds a particular protein may help create a defense against a Lyme infection before it’s too late.
Vector-borne diseases include any illness that stems from being bitten by mosquitoes, ticks, and fleas. In the case of Lyme disease, the infection tends to vary from person to person. Most cases of Lyme are mild and some may not even know they’re sick. The tell-tale sign you’ve been bitten by a tick is a bullseye-like rash at the sight of infection. These cases are usually treatable with antibiotics.
In more serious and untreated cases however, Lyme can spread to the heart, joints, nervous system, and other major organs. These patients can develop neurological problems, weeks or even months after infection. Serious side-effects include inflammation of the brain (meningitis), temporary paralysis of the face, and weakness in the limbs.
One protein sounds the alarm against Lyme
Researchers tested over 1,000 human genes placed in yeast and recorded their reactions with 36 samples of Borrelia burgdorferi. This spirochete (a spirally strain of bacteria) is what ticks that transmit Lyme disease carry in their bodies.
Out of all of those genes, one protein called Peptidoglycan Recognition Protein 1 (PGLYRP1) acted as an early warning signal from the immune system when it came into contact with the bacteria. After exposure to this Lyme-causing spirochete, mice without PGLYRP1 developed signs of immune system dysfunction. Their bodies also contained much more B. burgdorferi than mice protected by the protein.
“Stimulating the ability of people to make more of this protein could help fight infection,” says Yale professor of epidemiology Erol Fikrig in a university release.
Fikrig and his team are now investigating if people with more PGLYRP1 proteins are less susceptible to this particular bacterial infection. If so, it would help scientists explain why some people react better to a tick bite than others.
Of course, the best defense is to not encounter a tick at all. The Centers for Disease Control and Prevention recommend always spraying repellents on your clothing when outside and avoid tall, grassy and wooded areas.
The study appears in the journal PLOS Pathogens.",https://www.studyfinds.org/protein-defends-against-tick-borne-lyme-disease/,North America,,18/11/2020 06:40,2020-11-14 13:56:03+00:00,5c98a4799fcf,www.studyfinds.org,,1605365763,EN
5UILX3C07Y,Scientists Identify Protein That Protects Against Lyme Disease,"The most prevalent vector-borne disease in North America is Lyme Disease, spread by ticks contaminated with Borrelia burgdorferi spirochete. The disease's path differs between people, with moderate symptoms quickly treated by antibiotics being encountered by the majority. However, in certain untreated Lyme cases, the infection may spread to the heart, limbs, nervous system, and other organs.

(Photo : Pixabay) Ticks
""Stimulating the ability of people to make more of this protein could help fight infection,"" said Yale's Erol Fikrig, the Waldemar Von Zedtwitz Professor of Medicine (Infectious Diseases) and professor of epidemiology (microbial diseases) and of microbial pathogenesis and co-corresponding author of the study.
Fikrig and his colleagues are also studying whether individuals with higher PGLYRP1 levels could be less vulnerable to B infection. Burgdorferi, which will further understand why there are better effects for certain affected people.
Experts made a better system to study emerging tickborne disease
Tickborne illnesses are on the rise, and one in the United States and Canada is emerging in particular. A disease that may trigger a variety of symptoms and even death is human babesiosis. One of the parasites triggering human babesiosis is little known, but a team of Yale-led researchers have established a novel method for researching it. They said their study is promising to contribute to more successful detection and improved therapies.
Though scientists in mice and hamsters studied the parasite Babesia duncani, the study was minimal because it is costly and the animals sometimes succumb to the disease. The research team built a method to examine the parasite in human red blood cells to address these difficulties. They moved the pathogens from hamster red blood cells to in vitro cultured human red blood cells. This first-ever, continuous Babesia duncani in vitro method allowed them to explore the parasite over time in human red blood cells and research its biology.
There were some primary results mentioned by the writers. They reported that Babesia duncani in human red blood cells would multiply rapidly, doubling in less than 24 hours. Four current medications that are used to cure the disease have also been studied and shown that the infection has low resistance to these therapies.
The study is ""a tipping point in the research on this organism,"" said senior author Choukri Ben Mamoun, associate professor of medicine. 
ALSO READ: Coronavirus Survivors Twice as Likely to Develop Mental Disorders - Study
Check out more news and information on Medicine and Health on Science Times.",https://www.sciencetimes.com/articles/28185/20201112/scientists-identify-protein-that-protects-against-lyme-disease.htm,North America,,14/11/2020 11:59,2020-11-12 20:00:00+00:00,5c98a4799fcf,www.sciencetimes.com,,1605214800,EN
2Y3ZNKSOHC,Protein That Protects Some Hosts From Lyme Disease Identified,"Yale researchers have discovered a protein that helps protect hosts from infection with the tick-borne spirochete that causes Lyme Disease, a finding that may help diagnose and treat this infection, they report Nov. 11 in the journal PLOS Pathogens.Lyme Disease is the most common vector-borne disease in North America and is transmitted by ticks infected with the spirochete Borrelia burgdorferi. The course of the disease varies among individuals, with the majority experiencing mild symptoms easily treated by antibiotics. However, in some cases of untreated Lyme the infection can spread to the heart, joints, nervous system, and other organs.For the study, the Yale team expressed more than 1,000 human genes in yeast and analyzed their interactions with 36 samples of B. burgdorferi. They found that one protein, Peptidoglycan Recognition Protein 1 (PGLYRP1), acts like an early warning signal to the immune system when exposed to the bacteria. When exposed to the Lyme spirochete, mice lacking PGLYRP1 had much higher levels of B. burgdorferi than mice with the protein and showed signs of immune system dysfunction, the researchers report.""Stimulating the ability of people to make more of this protein could help fight infection,"" said Yale's Erol Fikrig, the Waldemar Von Zedtwitz Professor of Medicine (Infectious Diseases) and professor of epidemiology (microbial diseases) and of microbial pathogenesis and co-corresponding author of the study.Fikrig and his colleagues are also investigating whether people with higher levels of PGLYRP1 may be less susceptible to infection by B. burgdorferi, which would help explain why some infected individuals have better outcomes.Reference: Gupta A , Arora G , Rosen CE, et al. A human secretome library screen reveals a role for Peptidoglycan Recognition Protein 1 in Lyme borreliosis. PLoS Pathog. 2020. doi:10.1371/journal.ppat.1009030This article has been republished from the following materials. Note: material may have been edited for length and content. For further information, please contact the cited source.",https://www.technologynetworks.com/analysis/news/protein-that-protects-some-hosts-from-lyme-disease-identified-342723,North America,,14/11/2020 11:59,2020-11-12 08:28:03+00:00,5c98a4799fcf,www.technologynetworks.com,,1605173283,EN
0TTQW2KZQ0,Scientists identified a protein that protects against Lyme disease,"Lyme disease is an infectious disease caused by the spirochete Borrelia burgdorferi bacterium spread by ticks. Typical symptoms include fever, headache, fatigue, and a characteristic skin rash called erythema migrans. If left untreated, the infection can spread to joints, the heart, and the nervous system.
Scientists from Yale University have discovered a protein that helps protect hosts from infection with the tick-borne spirochete that causes Lyme Disease.
Scientists used a novel yeast display screening assay of over 1,000 human immune proteins probed against several isolates of Borrelia to uncover biologically relevant interactions for the Lyme disease pathogen. They found that one protein, Peptidoglycan Recognition Protein 1 (PGLYRP1), acts as an early warning signal to the immune system when exposed to the bacteria. When exposed to the Lyme spirochete, mice lacking PGLYRP1 had much higher levels of B. burgdorferi than mice with the protein and showed signs of immune system dysfunction.
Yale’s Erol Fikrig, the Waldemar Von Zedtwitz Professor of Medicine (Infectious Diseases) and professor of epidemiology (microbial diseases) and microbial pathogenesis, said, “Stimulating the ability of people to make more of this protein could help fight infection.”
Scientists are also investigating whether people with higher levels of PGLYRP1 may be less susceptible to infection by B. burgdorferi. This would help them understand why some infected individuals have better outcomes.
Journal Reference:
Akash Gupta et al. A human secretome library screen reveals a role for Peptidoglycan Recognition Protein 1 in Lyme borreliosis. DOI: 10.1371/journal.ppat.1009030",https://www.techexplorist.com/scientists-identified-protein-protects-against-lyme-disease/36102/,#,,18/11/2020 06:40,2020-11-12 08:20:00+00:00,5c98a4799fcf,www.techexplorist.com,,1605172800,EN
QH2MOBPPJG,Scientists identify protein that protects against Lyme,"Yale researchers have discovered a protein that helps protect hosts from infection with the tick-borne spirochete that causes Lyme Disease, a finding that may help diagnose and treat this infection, they report Nov. 11 in the journal PLOS Pathogens.

Lyme Disease is the most common vector-borne disease in North America and is transmitted by ticks infected with the spirochete Borrelia burgdorferi. The course of the disease varies among individuals, with the majority experiencing mild symptoms easily treated by antibiotics. However, in some cases of untreated Lyme the infection can spread to the heart, joints, nervous system, and other organs.
For the study, the Yale team expressed more than 1,000 human genes in yeast and analyzed their interactions with 36 samples of B. burgdorferi. They found that one protein, Peptidoglycan Recognition Protein 1 (PGLYRP1), acts like an early warning signal to the immune system when exposed to the bacteria. When exposed to the Lyme spirochete, mice lacking PGLYRP1 had much higher levels of B. burgdorferi than mice with the protein and showed signs of immune system dysfunction, the researchers report.
""Stimulating the ability of people to make more of this protein could help fight infection,"" said Yale's Erol Fikrig, the Waldemar Von Zedtwitz Professor of Medicine (Infectious Diseases) and professor of epidemiology (microbial diseases) and of microbial pathogenesis and co-corresponding author of the study.
Fikrig and his colleagues are also investigating whether people with higher levels of PGLYRP1 may be less susceptible to infection by B. burgdorferi, which would help explain why some infected individuals have better outcomes.

 Story Source:
Materials provided by Yale University. Original written by Bill Hathaway. Note: Content may be edited for style and length.",https://www.sciencedaily.com/releases/2020/11/201111144333.htm,North America,,14/11/2020 11:59,2020-11-11 23:00:25+00:00,5c98a4799fcf,www.sciencedaily.com,,1605139225,EN
7BNR6PBO72,Yale scientists identify protein that protects against Lyme,"Yale researchers have discovered a protein that helps protect hosts from infection with the tick-borne spirochete that causes Lyme Disease, a finding that may help diagnose and treat this infection, they report Nov. 11 in the journal PLOS Pathogens. 
Lyme Disease is the most common vector-borne disease in North America and is transmitted by ticks infected with the spirochete Borrelia burgdorferi. The course of the disease varies among individuals, with the majority experiencing mild symptoms easily treated by antibiotics. However, in some cases of untreated Lyme the infection can spread to the heart, joints, nervous system, and other organs. 
For the study, the Yale team expressed more than 1,000 human genes in yeast and analyzed their interactions with 36 samples of B. burgdorferi. They found that one protein, Peptidoglycan Recognition Protein 1 (PGLYRP1), acts like an early warning signal to the immune system when exposed to the bacteria. When exposed to the Lyme spirochete, mice lacking PGLYRP1 had much higher levels of B. burgdorferi than mice with the protein and showed signs of immune system dysfunction, the researchers report.
""Stimulating the ability of people to make more of this protein could help fight infection,"" said Yale's Erol Fikrig, the Waldemar Von Zedtwitz Professor of Medicine (Infectious Diseases) and professor of epidemiology (microbial diseases) and of microbial pathogenesis and co-corresponding author of the study.
Fikrig and his colleagues are also investigating whether people with higher levels of PGLYRP1 may be less susceptible to infection by B. burgdorferi, which would help explain why some infected individuals have better outcomes.
###
Yale's Noah Palm and Aaron Ring are co-corresponding authors of the paper. Akash Gupta, Gunjun Arora, and Connor Rosen of Yale are co-lead authors.
The work was primarily funded by the National Institutes of Health and the Steven & Alexandra Cohen Foundation, a nonprofit that supports Lyme and tick-borne disease research.

Disclaimer: AAAS and EurekAlert! are not responsible for the accuracy of news releases posted to EurekAlert! by contributing institutions or for the use of any information through the EurekAlert system.",https://www.eurekalert.org/pub_releases/2020-11/yu-ysi111120.php,North America,,14/11/2020 11:59,2020-11-11 18:03:03+00:00,5c98a4799fcf,www.eurekalert.org,,1605121383,EN
